question_text,company,difficulty,question_type,topics,source,answer_text,created_at
"Time Series CV: Specifically designed for temporal data, where the training set always precedes the test set. ### Benefits of K-Fold Cross-Validation - Data Utilization: Every data point is used for both training and testing, providing a more comprehensive model evaluation. - Performance Stability: Averaging results from multiple folds can help reduce variability. - Hyperparameter Tuning: Helps in tuning model parameters more effectively, especially when combined with techniques like grid search. ### Code Example: K-Fold Cross-Validation Here is the Python code: `python import numpy as np from sklearn.model_selection import KFold # Create sample data X = np.array([[1, 2], [3, 4], [5, 6], [7, 8], [9, 10]]) y = np.array([1, 2, 3, 4, 5]) # Initialize K-Fold splitter kf = KFold(n_splits=3) # Demonstrate how data is split fold_index = 1 for train_index, test_index in kf.split(X): print(f""Fold {fold_index} - Train set indices: {train_index}, Test set indices: {test_index}"") fold_index += 1 ` <br> ## 7. What is _Regularization_ and how does it help prevent _overfitting_? Regularization in machine learning is a technique used to prevent overfitting, which occurs when a model is too closely fit to a limited set of data points and may perform poorly on new data. Regularization discourages overly complex models by adding a penalty term to the loss function used to train the model. ### Types of Regularization #### L1 Regularization (Lasso Regression) $$ \text{Cost} + \lambda \sum_{i=1}^{n} |w_i| $$ L1 regularization, also known as Lasso (Least Absolute Shrinkage and Selection Operator), adds the absolute values of the coefficients to the cost function. This encourages a sparse solution, effectively performing feature selection by potentially reducing some coefficients to zero. #### L2 Regularization (Ridge Regression) $$ \text{Cost} + \lambda \sum_{i=1}^{n} w_i^2 $$ L2 regularization, or Ridge regression, adds the squared values of the coefficients to the cost function. This generally helps to reduce the model complexity by constraining the coefficients, especially effective when many features have small or moderate effects. #### Elastic Net Regularization $$ \text{Cost} + \lambda_1 \sum_{i=1}^{n} |w_i| + \lambda_2 \sum_{i=1}^{n} w_i^2 $$ Elastic Net is a hybrid of L1 and L2 regularization. It combines both penalties in the cost function and is useful for handling situations when there are correlations amongst the features or when you need to incorporate both attributes of L1 and L2 regularization. #### Max Norm Regularization Max Norm Regularization constrains the L2 norm of the weights for each neuron and is typically used in neural networks. It limits the size of the parameter weights, ensuring that they do not grow too large: `python from keras.constraints import max_norm ` This can be particularly beneficial in preventing overfitting in deep learning models. ### Code Examples #### L1 and L2 Regularization Example: For Lasso and Ridge regression, you can use the respective classes from Scikit-learn’s linear_model module: `python from sklearn.linear_model import Lasso, Ridge # Example of Lasso Regression lasso_reg = Lasso(alpha=0.1) lasso_reg.fit(X_train, y_train) # Example of Ridge Regression ridge_reg = Ridge(alpha=1.0) ridge_reg.fit(X_train, y_train) ` #### Elastic Net Regularization Example: You can apply Elastic Net regularization using its specific class from Scikit-learn: `python from sklearn.linear_model import ElasticNet # Elastic Net combines L1 and L2 regularization elastic_net = ElasticNet(alpha=1.0, l1_ratio=0.5) elastic_net.fit(X_train, y_train) ` #### Max Norm Regularization Example: Max Norm regularization can be specified for layers in a Keras model as follows: `python from keras.layers import Dense from keras.models import Sequential from keras.constraints import max_norm model = Sequential() model.add(Dense(64, input_dim=8, kernel_constraint=max_norm(3))) ` Here, the max_norm(3) constraint ensures that the max norm of the weights does not exceed 3. <br> ## 8. Describe the difference between _Parametric_ and _Non-Parametric_ models. Parametric and non-parametric models represent distinct approaches in statistical modeling, each with unique characteristics in terms of assumptions, computational complexity, and suitability for various types of data. ### Key Distinctions - Parametric Models: - Make explicit and often strong assumptions about data distribution. - Are defined by a fixed number of parameters, regardless of sample size. - Typically require less data for accurate estimation. - Common examples include linear regression, logistic regression, and Gaussian Naive Bayes. - Non-parametric Models: - Make minimal or no assumptions about data distribution. - The number of parameters can grow with sample size, offering more flexibility. - Generally require more data for accurate estimation. - Examples encompass k-nearest neighbors, decision trees, and random forests. ### Advantages and Disadvantages of Each Approach - Parametric Models - Advantages: - Inferential speed: Once trained, making predictions or conducting inference is often computationally fast. - Parameter interpretability: The meaning of parameters can be directly linked to the model and the data. - Efficiency with small, well-behaved datasets: Parametric models can yield highly accurate results with relatively small, clean datasets that adhere to the model's distributional assumptions. - Disadvantages: - Strong distributional assumptions: Data must closely match the specified distribution for the model to produce reliable results. - Limited flexibility: These models might not adapt well to non-standard data distributions. - Non-Parametric Models - Advantages: - Distribution-free: They do not impose strict distributional assumptions, making them more robust across a wider range of datasets. - Flexibility: Can capture complex, nonlinear relationships in the data. - Larger sample adaptability: Particularly suitable for big data or data from unknown distributions. - Disadvantages: - Computational overhead: Can be slower for making predictions, especially with large datasets. - Interpretability: Often, the predictive results are harder to interpret in terms of the original features. ### Code Example: Gaussian Naive Bayes vs. Decision Tree (Scikit-learn) Here is the Python code: `python # Gaussian Naive Bayes (parametric) from sklearn.naive_bayes import GaussianNB model = GaussianNB() # Decision Tree (non-parametric) from sklearn.tree import DecisionTreeClassifier model_dt = DecisionTreeClassifier() ` <br> ## 9. What is the _curse of dimensionality_ and how does it impact ML models? The curse of dimensionality describes the issues that arise when working with high-dimensional data, affecting the performance of machine learning models. ### Key Challenges",,hard,coding,regression|classification|probability|python|deep_learning|ensemble|feature_engineering,Devinterview-io/data-scientist-interview-questions,,2025-11-17T10:49:35.640936
"Sparse Data: As the number of dimensions increases, the data points become more spread out, and the density of data points decreases.",,medium,mixed,,Devinterview-io/data-scientist-interview-questions,,2025-11-17T10:49:35.640980
"Increased Volume of Data: With each additional dimension, the volume of the sample space grows exponentially, necessitating a larger dataset to maintain coverage.",,medium,mixed,,Devinterview-io/data-scientist-interview-questions,,2025-11-17T10:49:35.641018
Overfitting: High-dimensional spaces make it easier for models to fit to noise rather than the underlying pattern in the data.,,medium,ml,,Devinterview-io/data-scientist-interview-questions,,2025-11-17T10:49:35.641046
"Computational Complexity: Many machine learning algorithms exhibit slower performance and require more resources as the number of dimensions increases. ### Visual Example Consider a hypercube (n-dimensional cube) inscribed in a hypersphere (n-dimensional sphere) with a large number of dimensions, say 100. If you were to place a ""grid"" or uniformly spaced points within the hypercube, you'd find that the majority of these points actually fall outside the hypersphere. This disparity grows more pronounced as the number of dimensions increases, leading to a ""density gulf"" between the data contained within the hypercube and that within the hypersphere. !curse-of-dimensionality.png?alt=media&token=24d3cde6-89ae-4eb3-8d05-1d6358bb5ac9) ### Recommendations to Mitigate the Curse of Dimensionality",Google,medium,coding,,Devinterview-io/data-scientist-interview-questions,,2025-11-17T10:49:35.641133
"Feature Selection and Dimensionality Reduction: Prioritize quality over quantity of features. Techniques like PCA, t-SNE, and LDA can help reduce dimensions.",,medium,coding,feature_engineering,Devinterview-io/data-scientist-interview-questions,,2025-11-17T10:49:35.641161
"Simpler Models: Consider using algorithms with less sensitivity to high dimensions, even if it means sacrificing a bit of performance.",,medium,coding,,Devinterview-io/data-scientist-interview-questions,,2025-11-17T10:49:35.641187
"Sparse Models: For high-dimensional, sparse datasets, models that can handle sparsity, like LASSO or ElasticNet, might be beneficial.",,medium,ml,,Devinterview-io/data-scientist-interview-questions,,2025-11-17T10:49:35.641215
Feature Engineering: Craft domain-specific features that can capture relevant information more efficiently.,,medium,mixed,feature_engineering,Devinterview-io/data-scientist-interview-questions,,2025-11-17T10:49:35.641243
"Data Quality: Strive for a high-quality dataset, as more data doesn't necessarily counteract the curse of dimensionality.",,medium,mixed,,Devinterview-io/data-scientist-interview-questions,,2025-11-17T10:49:35.641273
"Data Stratification and Sampling: When possible, stratify and sample data to ensure coverage across the high-dimensional space.",,medium,mixed,,Devinterview-io/data-scientist-interview-questions,,2025-11-17T10:49:35.641303
"Computational Resources: Leverage cloud computing or powerful hardware to handle the increased computational demands. <br> ## 10. Explain the concept of _Feature Engineering_ and its significance in ML. Feature engineering is a vital component of the machine-learning pipeline. It entails creating meaningful and robust representations of the data upon which the model will be built. ### Significance of Feature Engineering - Improved Model Performance: High-quality features can make even simple models more effective, while poor features can hamper the performance of the most advanced models. - Dimensionality Reduction: Carefully engineered features can distill relevant information from high-dimensional data, leading to more efficient and accurate models. - Model Interpretability: Certain feature engineering techniques, such as binning or one-hot encoding, make it easier to understand and interpret the model's decisions. - Computational Efficiency: Engineered features can often streamline computational processes, making predictions faster and cheaper. ### Common Feature Engineering Techniques",,hard,stats,hypothesis_testing|metrics|feature_engineering,Devinterview-io/data-scientist-interview-questions,,2025-11-17T10:49:35.641434
"Handling Missing Data - Removing or imputing missing values. - Creating a separate ""missing"" category.",,medium,mixed,,Devinterview-io/data-scientist-interview-questions,,2025-11-17T10:49:35.641465
"Handling Categorical Data - Converting categories into ordinal values. - Using one-hot encoding to create binary ""dummy"" variables. - Grouping rare categories into an ""other"" category.",,medium,mixed,,Devinterview-io/data-scientist-interview-questions,,2025-11-17T10:49:35.641504
"Handling Temporal Data - Extracting specific time-related features from timestamps, such as hour or month. - Converting timestamps into different representations, like age or duration since a specific event.",,medium,mixed,feature_engineering,Devinterview-io/data-scientist-interview-questions,,2025-11-17T10:49:35.641544
Variable Transformation - Using mathematical transformations such as logarithms. - Normalizing or scaling data to a specific range.,,medium,mixed,,Devinterview-io/data-scientist-interview-questions,,2025-11-17T10:49:35.641576
"Discretization - Converting continuous variables into discrete bins, e.g., converting age to age groups.",,medium,mixed,,Devinterview-io/data-scientist-interview-questions,,2025-11-17T10:49:35.641609
Feature Extraction - Reducing dimensionality through techniques like PCA or LDA.,,medium,mixed,feature_engineering,Devinterview-io/data-scientist-interview-questions,,2025-11-17T10:49:35.641634
"Feature Creation - Engineering domain-specific metrics. - Generating polynomial or interaction features. <br> ## 11. What is _Data Preprocessing_ and why is it important in ML? Data Preprocessing is a vital early-stage task in any machine learning project. It involves cleaning, transforming, and standardizing data to make it more suitable for predictive modeling. ### Key Steps in Data Preprocessing",,medium,ml,metrics|feature_engineering,Devinterview-io/data-scientist-interview-questions,,2025-11-17T10:49:35.641691
Data Cleaning: - Address missing values: Implement strategies like imputation or removal. - Outlier detection and handling: Identify and deal with data points that deviate significantly from the rest.,,medium,mixed,,Devinterview-io/data-scientist-interview-questions,,2025-11-17T10:49:35.641732
Feature Selection and Engineering: - Choose the most relevant features that contribute to the model's predictive accuracy. - Create new features that might improve the model's performance.,,medium,coding,feature_engineering,Devinterview-io/data-scientist-interview-questions,,2025-11-17T10:49:35.641762
"Data Transformation: - Normalize or standardize numerical data to ensure all features contribute equally. - Convert categorical data into a format understandable by the model, often using techniques like one-hot encoding. - Discretize continuous data when required.",,medium,ml,feature_engineering,Devinterview-io/data-scientist-interview-questions,,2025-11-17T10:49:35.641805
"Data Integration: - Combine data from multiple sources, ensuring compatibility and consistency.",,medium,mixed,,Devinterview-io/data-scientist-interview-questions,,2025-11-17T10:49:35.641847
"Data Reduction: - Reduce the dimensionality of the feature space, often to eliminate noise or improve computational efficiency. ### Code Example: Handling Missing Data Here is the Python code: `python # Drop rows with missing values cleaned_data = raw_data.dropna() # Fill missing values using the mean mean_value = raw_data['column_name'].mean() raw_data['column_name'].fillna(mean_value, inplace=True) ` ### Code Example: Feature Scaling Here is the Python code: `python from sklearn.preprocessing import StandardScaler scaler = StandardScaler() X_train = scaler.fit_transform(X_train) X_test = scaler.transform(X_test) ` ### Code Example: Dimensionality Reduction Using PCA Here is the Python code: `python from sklearn.decomposition import PCA pca = PCA(n_components=2) X_pca = pca.fit_transform(X) ` <br> ## 12. Explain the difference between _Feature Scaling_ and _Normalization_. Both Feature Scaling and Normalization are data preprocessing techniques that aim to make machine learning models more robust and accurate. While they share similarities in standardizing data, they serve slightly different purposes. ### Key Distinctions - Feature Scaling adjusts the range of independent variables or features so that they are on a similar scale. Common methods include Min-Max Scaling and Standardization. - Normalization, in the machine learning context, typically refers to scaling the magnitude of a vector to make its Euclidean length 1. It's also known as Unit Vector transformation. In some contexts, it may be used more generally to refer to scaling quantities to be in a range (like Min-Max), but this is a less common usage in the ML community. ### Methods in Feature Scaling and Normalization - Min-Max Scaling: Transforms the data to a specific range (usually 0 to 1 or -1 to 1). - Standardization: Rescales the data to have a mean of 0 and a standard deviation of 1. - Unit Vector Transformation: Scales data to have a Euclidean length of 1. ### Use Cases - Feature Scaling: Beneficial for algorithms that compute distances or use linear methods, such as K-Nearest Neighbors (KNN) or Support Vector Machines (SVM). - Normalization: More useful for algorithms that work with vector dot products, like the K-Means clustering algorithm and Neural Networks. <br> ## 13. What is the purpose of _One-Hot Encoding_ and when is it used? One-Hot Encoding is a technique frequently used to prepare categorical data for machine learning algorithms. ### Purpose of One-Hot Encoding It is employed when: - Categorical Data: The data on hand is categorical, and the algorithm or model being used does not support categorical input. - Nominal Data Order: The categorical data is nominal, i.e., not ordinal, which means there is no inherent order or ranking. - Non-Scalar Representation: The model can only process numerical (scalar) data. The model may be represented as the set $x = \{x_1, x_2, \ldots, x_k\}$ each $x_i$ corresponding to a category. A scalar transformation $f(x_i)$ or comparison $f(x_i) > f(x_j)$ is not defined for the categories directly. - Category Dimension: The categorical variable has many distinct categories. For instance, using one-hot encoding consistently reduces the computational and statistical burden in algorithms. ### Code Example: One-Hot Encoding Here is the Python code: `python import pandas as pd # Sample data data = pd.DataFrame({'color': ['red', 'green', 'blue', 'green', 'red']}) # One-hot encode one_hot_encoded = pd.get_dummies(data, columns=['color']) print(one_hot_encoded) ` ### Output: One-Hot Encoding | | color_blue | color_green | color_red | |---:|-----------:|------------:|----------:| | 0 | 0 | 0 | 1 | | 1 | 0 | 1 | 0 | | 2 | 1 | 0 | 0 | | 3 | 0 | 1 | 0 | | 4 | 0 | 0 | 1 | ### Output: Binary representation (alternatively) | Color | Binary Red | Binary Green | Binary Blue | |-------|------------|--------------|-------------| | Red | 1 | 0 | 0 | | Green | 0 | 1 | 0 | | Blue | 0 | 0 | 1 | <br> ## 14. Describe the concept of _Handling Missing Values_ in datasets. Handling Missing Values is a crucial step in the data preprocessing pipeline for any machine learning or statistical analysis. It involves identifying and dealing with data points that are not available, ensuring the robustness and reliability of the subsequent analysis or model. ### Common Techniques for Handling Missing Values #### Deletion - Listwise Deletion: Eliminate entire rows with any missing value. This method is straightforward but can lead to significant information loss, especially if the dataset has a large number of missing values. - Pairwise Deletion: Ignore specific pairs of missing values across variables. While this method preserves more data than listwise deletion, it can introduce bias in the analysis. #### Single-Imputation Methods - Mean/ Median/ Mode: Replace missing values with the mean, median, or mode of the variable. This method is quick and easy to implement but can affect the distribution and introduce bias. - Forward or Backward Fill (Last Observation Carried Forward - LOCF / Last Observation Carried Backward - LOCB): Substitute missing values with the most recent (forward) or next (backward) non-missing value. These methods are useful for time-series data. - Linear Interpolation: Estimate missing values by fitting a linear model to the two closest non-missing data points. This method is particularly useful for ordered data, but it assumes a linear relationship. #### Multiple-Imputation Methods - k-Nearest Neighbors (KNN): Impute missing values based on the values of the k most similar instances or neighbors. This method can preserve the original data structure and is more robust than single imputation. - Expectation-Maximization (EM) Algorithm: Model the data with an initial estimate, then iteratively refine the imputations. It's effective for data with complex missing patterns. #### Prediction Models - Use predictive models, typically regression or decision tree-based models, to estimate missing values. This approach can be more accurate than simpler methods but also more computationally intensive. ### Best Practices - Understanding the Mechanism of Missing Data: Investigating why the data is missing can provide insights into the problem. For instance, is the data missing completely at random, at random, or not at random? - Combining Techniques: Employing multiple imputation methods or a combination of imputation and deletion strategies can help achieve better results. - Evaluating Impact on Model: Compare the performance of the model with and without the imputation method to understand its effect. <br> ## 15. What is _Feature Selection_ and its techniques? Feature Selection is a critical step in the machine learning pipeline. It aims to identify the most relevant features from a dataset, leading to improved model performance, reduced overfitting, and faster training times. ### Feature Selection Techniques #### 1. Filter Methods - Description: Filter methods rank features based on certain criteria, such as their correlation with the target variable or their variance. - Advantages: They are computationally efficient and can be used in both regression and classification tasks. - Limitations: They do not take feature dependencies into account. #### 2. Wrapper Methods - Description: Wrapper methods select features based on their performance with a specific machine learning algorithm. Common techniques include Recursive Feature Elimination (RFE) and Forward-Backward Selection. - Advantages: They take feature dependencies into account and can improve model accuracy. - Limitations: They can be computationally expensive and prone to overfitting. #### 3. Embedded Methods - Description: Embedded methods integrate feature selection with the model building process. Techniques like LASSO (Least Absolute Shrinkage and Selection Operator) and decision tree feature importances are examples of this approach. - Advantages: They are computationally efficient and provide feature rankings. - Limitations: They may not be transferable to other models. ### Code Example: Filter Methods Here is the Python code: `python import pandas as pd from sklearn.feature_selection import VarianceThreshold # Generate example data data = {'feature1': [1, 2, 3, 4, 5], 'feature2': [0, 0, 0, 0, 0], 'feature3': [1, 0, 1, 0, 1], 'target': [0, 1, 0, 1, 0]} df = pd.DataFrame(data) # Remove features with low variance X = df.drop('target', axis=1) y = df['target'] selector = VarianceThreshold(threshold=0.2) X_selected = selector.fit_transform(X) print(X_selected) ` #### Code Example: Wrapper Methods Here is the Python code: `python from sklearn.feature_selection import RFE from sklearn.linear_model import LogisticRegression # Create the RFE object and rank features model = LogisticRegression(solver='lbfgs') rfe = RFE(model, 3) fit = rfe.fit(X, y) print(""Selected Features:"") print(fit.support_) ` <br> #### Explore all 100 answers here 👉 Devinterview.io - Data Scientist <br> <a href=""https://devinterview.io/questions/machine-learning-and-data-science/""> <img src=""https://firebasestorage.googleapis.com/v0/b/dev-stack-app.appspot.com/o/github-blog-img%2Fmachine-learning-and-data-science-github-img.jpg?alt=media&token=c511359d-cb91-4157-9465-a8e75a0242fe"" alt=""machine-learning-and-data-science"" width=""100%""> </a> </p>",Google,easy,coding,regression|classification|clustering|probability|python|deep_learning|metrics|feature_engineering,Devinterview-io/data-scientist-interview-questions,,2025-11-17T10:49:35.642628
TN / True Negative: case was negative and predicted negative,,medium,mixed,,iamtodor/data-science-interview-questions-and-answers,,2025-11-17T10:49:36.279389
TP / True Positive: case was positive and predicted positive,,medium,mixed,,iamtodor/data-science-interview-questions-and-answers,,2025-11-17T10:49:36.279432
FN / False Negative: case was positive but predicted negative,,medium,mixed,,iamtodor/data-science-interview-questions-and-answers,,2025-11-17T10:49:36.279466
"FP / False Positive: case was negative but predicted positive !alt text Now, your boss asks you three questions: * What percent of your predictions were correct? You answer: the ""accuracy"" was (9,760+60) out of 10,000 = 98.2% * What percent of the positive cases did you catch? You answer: the ""recall"" was 60 out of 100 = 60% * What percent of positive predictions were correct? You answer: the ""precision"" was 60 out of 200 = 30% See also a very good explanation of Precision and recall in Wikipedia. !alt text ROC curve represents a relation between sensitivity (RECALL) and specificity(NOT PRECISION) and is commonly used to measure the performance of binary classifiers. However, when dealing with highly skewed datasets, Precision-Recall (PR) curves give a more representative picture of performance. Remember, a ROC curve represents a relation between sensitivity (RECALL) and specificity(NOT PRECISION). Sensitivity is the other name for recall but specificity is not PRECISION. Recall/Sensitivity is the measure of the probability that your estimate is 1 given all the samples whose true class label is 1. It is a measure of how many of the positive samples have been identified as being positive. Specificity is the measure of the probability that your estimate is 0 given all the samples whose true class label is 0. It is a measure of how many of the negative samples have been identified as being negative. PRECISION on the other hand is different. It is a measure of the probability that a sample is a true positive class given that your classifier said it is positive. It is a measure of how many of the samples predicted by the classifier as positive is indeed positive. Note here that this changes when the base probability or prior probability of the positive class changes. Which means PRECISION depends on how rare is the positive class. In other words, it is used when positive class is more interesting than the negative class. * Sensitivity also known as the True Positive rate or Recall is calculated as, Sensitivity = TP / (TP + FN). Since the formula doesn’t contain FP and TN, Sensitivity may give you a biased result, especially for imbalanced classes. In the example of Fraud detection, it gives you the percentage of Correctly Predicted Frauds from the pool of Actual Frauds pool of Actual Non-Frauds. * Specificity, also known as True Negative Rate is calculated as, Specificity = TN / (TN + FP). Since the formula does not contain FN and TP, Specificity may give you a biased result, especially for imbalanced classes. In the example of Fraud detection, it gives you the percentage of Correctly Predicted Non-Frauds from the pool of Actual Frauds pool of Actual Non-Frauds Assessing and Comparing Classifier Performance with ROC Curves ## 6. Is it better to have too many false positives, or too many false negatives? It depends on the question as well as on the domain for which we are trying to solve the question. In medical testing, false negatives may provide a falsely reassuring message to patients and physicians that disease is absent, when it is actually present. This sometimes leads to inappropriate or inadequate treatment of both the patient and their disease. So, it is desired to have too many false positive. For spam filtering, a false positive occurs when spam filtering or spam blocking techniques wrongly classify a legitimate email message as spam and, as a result, interferes with its delivery. While most anti-spam tactics can block or filter a high percentage of unwanted emails, doing so without creating significant false-positive results is a much more demanding task. So, we prefer too many false negatives over many false positives. ## 7. How do you deal with unbalanced binary classification? Imbalanced data typically refers to a problem with classification problems where the classes are not represented equally. For example, you may have a 2-class (binary) classification problem with 100 instances (rows). A total of 80 instances are labeled with Class-1 and the remaining 20 instances are labeled with Class-2. This is an imbalanced dataset and the ratio of Class-1 to Class-2 instances is 80:20 or more concisely 4:1. You can have a class imbalance problem on two-class classification problems as well as multi-class classification problems. Most techniques can be used on either. The remaining discussions will assume a two-class classification problem because it is easier to think about and describe.",,medium,stats,classification|probability|metrics,iamtodor/data-science-interview-questions-and-answers,,2025-11-17T10:49:36.280457
Can You Collect More Data?</br> A larger dataset might expose a different and perhaps more balanced perspective on the classes. More examples of minor classes may be useful later when we look at resampling your dataset.,,medium,mixed,,iamtodor/data-science-interview-questions-and-answers,,2025-11-17T10:49:36.280524
"Try Changing Your Performance Metric</br> Accuracy is not the metric to use when working with an imbalanced dataset. We have seen that it is misleading. From that post, I recommend looking at the following performance measures that can give more insight into the accuracy of the model than traditional classification accuracy: - Confusion Matrix: A breakdown of predictions into a table showing correct predictions (the diagonal) and the types of incorrect predictions made (what classes incorrect predictions were assigned). - Precision: A measure of a classifiers exactness. Precision is the number of True Positives divided by the number of True Positives and False Positives. Put another way, it is the number of positive predictions divided by the total number of positive class values predicted. It is also called the Positive Predictive Value (PPV). Precision can be thought of as a measure of a classifiers exactness. A low precision can also indicate a large number of False Positives. - Recall: A measure of a classifiers completeness. Recall is the number of True Positives divided by the number of True Positives and the number of False Negatives. Put another way it is the number of positive predictions divided by the number of positive class values in the test data. It is also called Sensitivity or the True Positive Rate. Recall can be thought of as a measure of a classifiers completeness. A low recall indicates many False Negatives. - F1 Score (or F-score): A weighted average of precision and recall. I would also advise you to take a look at the following: - Kappa (or Cohen’s kappa): Classification accuracy normalized by the imbalance of the classes in the data. ROC Curves: Like precision and recall, accuracy is divided into sensitivity and specificity and models can be chosen based on the balance thresholds of these values.",,medium,ml,classification|metrics,iamtodor/data-science-interview-questions-and-answers,,2025-11-17T10:49:36.281008
"Try Resampling Your Dataset * You can add copies of instances from the under-represented class called over-sampling (or more formally sampling with replacement) * You can delete instances from the over-represented class, called under-sampling.",,medium,mixed,,iamtodor/data-science-interview-questions-and-answers,,2025-11-17T10:49:36.281081
Try Different Algorithms,,medium,coding,,iamtodor/data-science-interview-questions-and-answers,,2025-11-17T10:49:36.281106
Try Penalized Models</br> You can use the same algorithms but give them a different perspective on the problem. Penalized classification imposes an additional cost on the model for making classification mistakes on the minority class during training. These penalties can bias the model to pay more attention to the minority class. Often the handling of class penalties or weights are specialized to the learning algorithm. There are penalized versions of algorithms such as penalized-SVM and penalized-LDA. Using penalization is desirable if you are locked into a specific algorithm and are unable to resample or you’re getting poor results. It provides yet another way to “balance” the classes. Setting up the penalty matrix can be complex. You will very likely have to try a variety of penalty schemes and see what works best for your problem.,,medium,coding,classification,iamtodor/data-science-interview-questions-and-answers,,2025-11-17T10:49:36.281321
